template,ok,tot,acc
((((V)AFTER(V))AFTER((V-M)AFTER(V-D)))AFTER((V-D)AFTER(V-D)))AFTER(V-D),0,1,0.0
((((V)AFTER(V))AFTER(V))AFTER(((V-D-M)AND(V-D-M))AND((V-M)AFTER(V))))AND(V),0,1,0.0
((((V)AFTER(V-D))AFTER((V-D-M)AFTER(V)))AND(V-D-M))AFTER(V-D),0,1,0.0
((((V)AFTER(V-D))AFTER((V-D-M)AFTER(V-D)))AND(V-D))AND(V-D),0,1,0.0
((((V)AFTER(V-D))AND((V-D)AFTER(V-D)))AFTER(V-D-M))AND(V-D-M),0,1,0.0
((((V)AFTER(V-D))AND(V-D))AND(V-D))AND(V-D-M),0,1,0.0
((((V)AFTER(V-D-M))AFTER((V-D)AND(V-D-M)))AND(V))AFTER(V),0,1,0.0
((((V)AFTER(V-D-M))AFTER(V))AND(V))AND(V),0,1,0.0
((((V)AFTER(V-D-M))AFTER(V-D))AND(V-M))AFTER((V-M)AFTER(V-D)),0,1,0.0
((((V)AND(V))AFTER(V))AFTER(V-D))AFTER((V-M)AND((V-D-M)AND(V-D))),0,1,0.0
((((V)AND(V))AFTER(V-D))AFTER(V-D-M))AFTER(V),0,1,0.0
((((V)AND(V))AFTER(V-M))AND(((V-M)AND(V-D))AFTER(V-D)))AND(V-D),0,1,0.0
((((V)AND(V))AND(V))AFTER(V-M))AND(V),0,1,0.0
((((V)AND(V-D))AND((V)AFTER(V)))AFTER(V-M))AFTER(V-D),0,1,0.0
((((V)AND(V-D))AND((V-M)AND(V-D)))AND(V-M))AFTER((V-D)AFTER(V)),0,1,0.0
((((V)AND(V-D))AND(V-D-M))AND(V-D))AND((V-D-M)AFTER(V-D)),0,1,0.0
((((V)AND(V-D-M))AND((V-D)AFTER(V-D)))AND(V-D-M))AND(V-D-M),0,1,0.0
((((V)AND(V-M))AFTER(V-D))AND(V-D-M))AFTER(V-D),0,1,0.0
((((V-D)AFTER(V-D))AFTER(V))AND(V-D))AFTER(V-D-M),0,1,0.0
((((V-D)AFTER(V-D))AFTER(V-D))AND(V-D-M))AFTER((V-M)AFTER(V)),0,1,0.0
((((V-D)AFTER(V-D))AFTER(V-D-M))AFTER(V-D))AFTER(V-D-M),0,1,0.0
((((V-D)AFTER(V-D))AND((V-D-M)AFTER(V-D)))AFTER(V-M))AFTER(V-D),0,1,0.0
((((V-D)AFTER(V-D))AND((V-D-M)AND(V-D-M)))AND((V)AFTER(V)))AND(V-D),0,1,0.0
((((V-D)AFTER(V-D))AND(V-D))AND(V-D-M))AND(V),0,1,0.0
((((V-D)AFTER(V-D-M))AND(V-D))AFTER(V-D))AFTER(V-D),0,1,0.0
((((V-D)AFTER(V-D-M))AND(V-D))AND((V-D)AFTER(V-M)))AND(V),0,1,0.0
((((V-D)AND(V))AND(V-D))AFTER(((V-D)AND(V-D))AND(V-D)))AND(V-M),0,1,0.0
((((V-D)AND(V-D))AFTER((V-D)AFTER(V-D-M)))AND(V-D-M))AFTER(V-D),0,1,0.0
((((V-D)AND(V-D))AFTER(V-D))AFTER(V-D))AND((V)AND((V-D-M)AFTER(V-M))),0,1,0.0
((((V-D)AND(V-D))AFTER(V-D-M))AND(V-D-M))AND(V-D-M),0,1,0.0
((((V-D)AND(V-D))AND((V-D-M)AND(V-D-M)))AND(V-D))AND(V-D),0,1,0.0
((((V-D)AND(V-D-M))AFTER(V-D))AND(V-D-M))AND(V),0,1,0.0
((((V-D)AND(V-D-M))AFTER(V-D-M))AND(V-D))AFTER(V),0,1,0.0
((((V-D)AND(V-D-M))AND((V-D)AFTER(V-D)))AFTER(V-M))AFTER(V-D),0,1,0.0
((((V-D)AND(V-D-M))AND(V))AFTER(V-D))AND(V-D),0,1,0.0
((((V-D)AND(V-D-M))AND(V))AFTER(V-D-M))AND((V-D-M)AND(V-D)),0,1,0.0
((((V-D)AND(V-D-M))AND(V-D))AFTER(V-D-M))AND(V-D-M),0,1,0.0
((((V-D)AND(V-M))AFTER((V-M)AND(V-D-M)))AND(V-D-M))AFTER(V-D),0,1,0.0
((((V-D-M)AFTER(V))AFTER((V-D-M)AFTER(V-M)))AFTER(V-D))AND(V-D-M),0,1,0.0
((((V-D-M)AFTER(V))AND(V))AFTER(V-D))AND(V-D),0,1,0.0
((((V-D-M)AFTER(V-D))AFTER((V-D-M)AFTER(V-D-M)))AND(V-D-M))AFTER(V),0,1,0.0
((((V-D-M)AFTER(V-D))AFTER(V-D))AND(V))AFTER(V-D-M),0,1,0.0
((((V-D-M)AFTER(V-D))AND(V))AFTER((V)AFTER((V-D)AND(V-D-M))))AND(V-M),0,1,0.0
((((V-D-M)AFTER(V-D))AND(V-D-M))AFTER(V-M))AND(V-M),0,1,0.0
((((V-D-M)AFTER(V-D))AND(V-M))AND(((V)AFTER(V))AND(V-D)))AFTER(V-D),0,1,0.0
((((V-D-M)AFTER(V-D-M))AFTER(V-D-M))AFTER(V))AFTER(V-D),0,1,0.0
((((V-D-M)AFTER(V-D-M))AND((V-M)AFTER(V-M)))AFTER(V-M))AND(V-D-M),0,1,0.0
((((V-D-M)AFTER(V-D-M))AND(V-D))AND(V-M))AND(V-D),0,1,0.0
((((V-D-M)AFTER(V-D-M))AND(V-M))AFTER(V-D-M))AND(V-D),0,1,0.0
((((V-D-M)AFTER(V-D-M))AND(V-M))AND(V-D-M))AFTER(V-D-M),0,1,0.0
((((V-D-M)AFTER(V-M))AND(V-D))AND(V))AFTER((V-M)AFTER((V)AND(V-D-M))),0,1,0.0
((((V-D-M)AFTER(V-M))AND(V-D-M))AFTER(V-D))AFTER(V-D),0,1,0.0
((((V-D-M)AND(V))AND(V-D))AFTER((V-D)AFTER(V-D)))AND(V-D-M),0,1,0.0
((((V-D-M)AND(V))AND(V-D))AND(V-D))AND((V-D-M)AFTER(V-D)),0,1,0.0
((((V-D-M)AND(V-D))AFTER(V-D-M))AND(V))AND(V-D),0,1,0.0
((((V-D-M)AND(V-D))AND((V-D)AFTER(V-D)))AFTER(V))AND(V-D-M),0,1,0.0
((((V-D-M)AND(V-D))AND((V-D-M)AND(V-M)))AFTER(V-M))AND(V),0,1,0.0
((((V-D-M)AND(V-D))AND((V-M)AND(V-D-M)))AFTER(V-D-M))AFTER(V-M),0,1,0.0
((((V-D-M)AND(V-D))AND(V-D-M))AND(V-D-M))AFTER(V-D),0,1,0.0
((((V-D-M)AND(V-D-M))AFTER(V))AND((V-D)AND(V-D)))AFTER(V-M),0,1,0.0
((((V-D-M)AND(V-D-M))AND(V-D-M))AND(V-M))AFTER(V-D-M),0,1,0.0
((((V-D-M)AND(V-M))AND(V))AFTER(V-D))AND((V)AND(V-D)),0,1,0.0
((((V-M)AFTER(V))AFTER(V-D-M))AFTER(V))AND(V-D-M),0,1,0.0
((((V-M)AFTER(V))AND((V-D-M)AND(V-D)))AND(V-M))AFTER(V),0,1,0.0
((((V-M)AFTER(V-D))AFTER((V-D-M)AND(V-M)))AFTER(V-M))AND(V),0,1,0.0
((((V-M)AFTER(V-D))AFTER((V-M)AFTER(V-D)))AND(V))AND(V-M),0,1,0.0
((((V-M)AFTER(V-D))AFTER(V))AFTER(V-M))AND(V-D-M),0,1,0.0
((((V-M)AFTER(V-D))AFTER(V-D-M))AFTER(V-D))AND(V-M),0,1,0.0
((((V-M)AFTER(V-D))AND(V))AFTER(V-D-M))AFTER(V-D),0,1,0.0
((((V-M)AFTER(V-D-M))AND(V-M))AND(V-D-M))AND((V)AND(V-D)),0,1,0.0
((((V-M)AFTER(V-M))AFTER((V-D-M)AFTER(V)))AFTER(V-D-M))AND(V-D-M),0,1,0.0
((((V-M)AFTER(V-M))AFTER(V-D-M))AFTER(V-M))AND(V-D-M),0,1,0.0
((((V-M)AND(V))AND(V))AFTER(V))AND(V-M),0,1,0.0
((((V-M)AND(V-D))AND(V-M))AND(V-D-M))AFTER(V),0,1,0.0
((((V-M)AND(V-D-M))AFTER((V-D-M)AFTER(V-M)))AFTER(V-D))AFTER(V-D-M),0,1,0.0
((((V-M)AND(V-D-M))AND(V-D-M))AND(V-D-M))AFTER(V-D),0,1,0.0
((((V-M)AND(V-M))AND((V-D-M)AND(V-D-M)))AND(V-D))AND(V-D-M),0,1,0.0
(((V)AFTER((V)AFTER(V-D-M)))AND(((V)AFTER(V-D))AND(V)))AFTER(V-D-M),0,1,0.0
(((V)AFTER((V)AND(V-M)))AFTER(V-D-M))AFTER(V-D),0,1,0.0
(((V)AFTER((V-D)AND(V-M)))AFTER(V-D-M))AND(V-D),0,1,0.0
(((V)AFTER((V-D-M)AND(V)))AND(V-D-M))AFTER(V),0,1,0.0
(((V)AFTER((V-M)AND(V-D)))AFTER(V-D))AFTER(V-D-M),0,1,0.0
(((V)AFTER(V))AFTER(V-D))AND(V-D),0,1,0.0
(((V)AFTER(V))AFTER(V-D-M))AND(V-D-M),0,1,0.0
(((V)AFTER(V))AND(V-D))AND(V-D),0,1,0.0
(((V)AFTER(V-D))AND((V-D)AND((V-D-M)AFTER(V-D))))AFTER(V-D-M),0,1,0.0
(((V)AFTER(V-D))AND((V-M)AND(V-M)))AND((V-D-M)AFTER((V)AND(V-D))),0,1,0.0
(((V)AFTER(V-D))AND(V))AFTER(((V)AFTER(V))AND((V-D-M)AFTER(V-M))),0,1,0.0
(((V)AFTER(V-D))AND(V-D))AFTER(V-M),0,1,0.0
(((V)AFTER(V-D))AND(V-M))AND(V-D-M),0,1,0.0
(((V)AFTER(V-D-M))AFTER(V-M))AND(V-D),0,1,0.0
(((V)AFTER(V-M))AFTER((V-D-M)AFTER(V-D-M)))AFTER(V),0,1,0.0
(((V)AFTER(V-M))AND(((V-D-M)AFTER(V-D))AND((V-D)AND(V-D))))AFTER(V-D),0,1,0.0
(((V)AND((V)AND(V-D)))AFTER(((V-D)AND(V-D-M))AFTER(V-D)))AND(V-D-M),0,1,0.0
(((V)AND((V-D)AND(V-D)))AND(V-D-M))AFTER((V)AFTER((V-D-M)AND(V-D))),0,1,0.0
(((V)AND((V-D)AND(V-D-M)))AND(((V-D-M)AFTER(V-D))AFTER(V)))AFTER(V-M),0,1,0.0
(((V)AND((V-D-M)AFTER(V-D)))AND((V-D)AND(V-D)))AND(V-D-M),0,1,0.0
(((V)AND((V-D-M)AFTER(V-D-M)))AND(V-D-M))AFTER(V-D-M),0,1,0.0
(((V)AND(V))AND((V-D)AFTER(V-D-M)))AND(V-D-M),0,1,0.0
(((V)AND(V-D))AFTER((V-D)AND(V-D)))AND(V-D-M),0,1,0.0
(((V)AND(V-D))AFTER(V-D-M))AFTER(((V-D)AFTER(V-D-M))AND(V)),0,1,0.0
(((V)AND(V-D))AFTER(V-D-M))AFTER(V-D-M),0,1,0.0
(((V)AND(V-D))AFTER(V-D-M))AND(V-D),0,1,0.0
(((V)AND(V-D))AFTER(V-M))AND(V-D),0,1,0.0
(((V)AND(V-D))AND(V-M))AND(V-M),0,1,0.0
(((V)AND(V-D-M))AFTER((V-D)AFTER(V-M)))AND(V-D-M),0,1,0.0
(((V)AND(V-D-M))AFTER(V))AND(V-D),0,1,0.0
(((V)AND(V-D-M))AND(V-D-M))AFTER(V-M),0,1,0.0
(((V)AND(V-M))AFTER(V-M))AFTER((V-D-M)AFTER((V-D)AND(V-D))),0,1,0.0
(((V)AND(V-M))AND((V)AND(V-D-M)))AFTER(V-D),0,1,0.0
(((V-D)AFTER((V)AFTER(V-D)))AFTER(V-D))AND(V-D),0,1,0.0
(((V-D)AFTER((V)AND(V-M)))AFTER((V)AND(V)))AND(V-D),0,1,0.0
(((V-D)AFTER((V-D)AFTER(V-D-M)))AND(V-D))AND(V-D),0,1,0.0
(((V-D)AFTER((V-D)AND(V-D)))AND(V-D-M))AFTER((V-D)AND(V-M)),0,1,0.0
(((V-D)AFTER((V-M)AND(V-D-M)))AND(V-D-M))AFTER(V-D-M),0,1,0.0
(((V-D)AFTER(V))AND(V-D))AND(V-D),0,1,0.0
(((V-D)AFTER(V-D))AFTER(((V-D)AND(V-D))AFTER(V-D-M)))AND(V-D-M),0,1,0.0
(((V-D)AFTER(V-D))AFTER((V-D-M)AFTER(V-D)))AND(((V-M)AFTER(V))AFTER(V-D)),0,1,0.0
(((V-D)AFTER(V-D))AFTER(V))AND((V-D-M)AFTER(V-D)),0,1,0.0
(((V-D)AFTER(V-D))AFTER(V-D))AND(V-M),0,1,0.0
(((V-D)AFTER(V-D))AFTER(V-D-M))AND(V-D-M),0,1,0.0
(((V-D)AFTER(V-D))AND(((V-M)AFTER(V-D))AFTER(V)))AFTER(V-M),0,1,0.0
